Date,Region,Product,Units_Sold,Unit_Price,Revenue,Stock_Level,Warehouse_Capacity
2025-08-06,North,Parachute Coconut Oil,304,176.71,53719.84,297,4250
2025-03-10,West,Parachute Coconut Oil,555,192.04,106582.2,2476,3689
2025-10-08,West,Nihar Naturals,536,134.92,72317.12,3879,4446
2025-09-24,East,Saffola Gold,576,218.52,125867.52,1915,2524
2025-05-20,South,Livon Serum,423,275.16,116392.68,1267,3612
2025-12-22,West,Saffola Gold,236,236.85,55896.6,976,1663
2025-08-01,West,Nihar Naturals,143,114.21,16332.03,641,3120
2025-09-02,West,Nihar Naturals,86,136.28,11720.08,2183,2623
2025-09-07,South,Set Wet Hair Gel,304,146.4,44505.6,307,3389
2025-08-28,South,Set Wet Hair Gel,210,173.15,36361.5,344,3587
2025-02-12,North,Nihar Naturals,518,116.55,60372.9,264,3291
2025-04-19,East,Set Wet Hair Gel,545,129.19,70408.55,1952,4517
2025-02-11,East,Set Wet Hair Gel,561,119.08,66803.88,323,3609
2025-11-30,North,Saffola Gold,121,249.06,30136.26,475,2412
2025-05-03,South,Nihar Naturals,209,131.98,27583.82,860,1868
2025-11-07,South,Livon Serum,197,307.32,60542.04,593,2070
2025-06-09,North,Nihar Naturals,669,133.45,89278.05,839,2937
2025-02-22,South,Nihar Naturals,388,144.19,55945.72,3012,3859
2025-09-30,East,Parachute Coconut Oil,518,180.26,93374.68,1162,1682
2025-08-10,North,Set Wet Hair Gel,450,154.18,69381.0,1488,4794
2025-09-25,South,Set Wet Hair Gel,356,159.36,56732.16,2909,5166
2025-10-31,West,Set Wet Hair Gel,354,137.28,48597.12,609,2405
2025-05-05,West,Livon Serum,555,271.04,150427.2,861,4136
2025-04-04,East,Set Wet Hair Gel,579,125.42,72618.18,1985,4667
2025-10-12,East,Nihar Naturals,90,116.09,10448.1,271,2182
2025-10-12,West,Set Wet Hair Gel,326,150.17,48955.42,2563,4045
2025-05-31,North,Parachute Coconut Oil,306,187.41,57347.46,243,2396
2025-10-11,West,Livon Serum,623,256.34,159699.82,2242,4455
2025-06-06,East,Set Wet Hair Gel,337,126.02,42468.74,1272,4354
2025-04-09,South,Nihar Naturals,301,140.57,42311.57,1529,2532
2025-02-21,East,Nihar Naturals,278,109.87,30543.86,122,2878
2025-05-21,South,Nihar Naturals,126,148.21,18674.46,210,3666
2025-01-07,North,Set Wet Hair Gel,667,141.39,94307.13,1359,3360
2025-09-02,East,Parachute Coconut Oil,196,187.06,36663.76,766,3041
2025-10-16,South,Saffola Gold,391,218.9,85589.9,1999,2416
2025-09-25,South,Set Wet Hair Gel,469,153.11,71808.59,2334,3213
2025-11-09,North,Livon Serum,181,307.42,55643.02,946,2251
2025-05-03,South,Parachute Coconut Oil,257,201.79,51860.03,196,2041
2025-05-30,West,Nihar Naturals,113,114.94,12988.22,403,4295
2025-05-16,South,Parachute Coconut Oil,683,207.09,141442.47,1723,2210
2025-03-14,East,Saffola Gold,153,189.2,28947.6,3903,4646
2025-08-13,East,Nihar Naturals,207,114.74,23751.18,1500,2645
2025-08-13,West,Nihar Naturals,162,125.94,20402.28,1932,5043
2025-04-28,North,Parachute Coconut Oil,669,195.96,131097.24,818,1484
2025-03-31,North,Nihar Naturals,561,128.51,72094.11,2362,3211
2025-08-29,North,Set Wet Hair Gel,436,145.9,63612.4,2244,2715
2025-07-30,East,Saffola Gold,587,201.02,117998.74,697,3040
2025-06-11,North,Set Wet Hair Gel,338,142.81,48269.78,2928,4564
2025-07-31,West,Parachute Coconut Oil,135,170.44,23009.4,1423,2881
2025-05-17,South,Parachute Coconut Oil,642,181.33,116413.86,712,2579
2025-12-30,South,Parachute Coconut Oil,242,190.06,45994.52,1278,1456
2025-03-02,West,Parachute Coconut Oil,237,184.43,43709.91,534,4335
2025-09-05,West,Livon Serum,563,249.84,140659.92,1438,3657
2025-02-05,South,Nihar Naturals,362,141.67,51284.54,2960,4899
2025-05-25,North,Livon Serum,385,299.97,115488.45,2684,3775
2025-10-03,West,Saffola Gold,575,216.98,124763.5,2203,3660
2025-04-07,East,Set Wet Hair Gel,324,137.25,44469.0,1265,2356
2025-08-31,East,Parachute Coconut Oil,470,168.61,79246.7,1364,4118
2025-03-06,North,Set Wet Hair Gel,594,166.18,98710.92,2286,2759
2025-09-27,North,Set Wet Hair Gel,547,131.6,71985.2,1698,1990
2025-08-29,North,Saffola Gold,351,225.29,79076.79,1090,4237
2025-06-12,West,Livon Serum,579,290.7,168315.3,758,1547
2025-02-16,South,Livon Serum,524,321.4,168413.6,1223,4514
2025-12-22,South,Set Wet Hair Gel,386,170.23,65708.78,399,1588
2025-07-11,East,Livon Serum,521,228.85,119230.85,1380,3575
2025-02-10,South,Saffola Gold,471,250.65,118056.15,1623,2386
2025-08-25,South,Saffola Gold,340,241.14,81987.6,576,4131
2025-12-13,East,Set Wet Hair Gel,639,123.64,79005.96,1802,3209
2025-08-22,East,Set Wet Hair Gel,389,124.99,48621.11,971,2975
2025-10-20,West,Saffola Gold,447,229.61,102635.67,3463,4264
2025-01-05,East,Set Wet Hair Gel,659,146.9,96807.1,1025,4587
2025-05-27,West,Nihar Naturals,315,126.21,39756.15,210,2843
2025-12-14,East,Nihar Naturals,220,119.24,26232.8,607,5100
2025-10-24,North,Set Wet Hair Gel,453,157.7,71438.1,987,1769
2025-04-13,South,Set Wet Hair Gel,215,165.81,35649.15,3072,4989
2025-03-26,East,Nihar Naturals,343,127.3,43663.9,1994,3373
2025-02-08,West,Parachute Coconut Oil,224,195.94,43890.56,1231,2324
2025-02-16,East,Nihar Naturals,484,101.91,49324.44,331,3597
2025-11-23,West,Livon Serum,460,241.04,110878.4,1692,2357
2025-11-09,East,Nihar Naturals,306,119.78,36652.68,1957,4002
2025-03-13,North,Set Wet Hair Gel,126,165.48,20850.48,713,2646
2025-10-03,South,Parachute Coconut Oil,218,193.85,42259.3,2462,2919
2025-10-28,West,Nihar Naturals,238,134.56,32025.28,413,4082
2025-05-24,West,Nihar Naturals,113,128.71,14544.23,1154,2289
2025-10-06,East,Parachute Coconut Oil,447,154.84,69213.48,132,2530
2025-12-06,North,Set Wet Hair Gel,297,154.4,45856.8,899,3845
2025-03-06,South,Livon Serum,658,267.13,175771.54,1711,4798
2025-04-30,South,Nihar Naturals,416,141.73,58959.68,624,4630
2025-10-04,South,Saffola Gold,336,261.27,87786.72,385,1850
2025-07-03,North,Saffola Gold,323,239.6,77390.8,370,1464
2025-09-27,West,Saffola Gold,196,239.01,46845.96,2085,3350
2025-08-20,North,Nihar Naturals,595,119.23,70941.85,493,3919
2025-08-23,East,Nihar Naturals,111,103.24,11459.64,1046,3361
2025-02-07,West,Set Wet Hair Gel,162,137.27,22237.74,150,2007
2025-07-15,East,Nihar Naturals,691,116.48,80487.68,1054,3258
2025-08-09,South,Nihar Naturals,542,145.41,78812.22,355,3094
2025-02-18,West,Set Wet Hair Gel,400,140.94,56376.0,1367,4124
2025-02-16,North,Set Wet Hair Gel,167,134.43,22449.81,1086,1795
2025-10-28,North,Saffola Gold,655,238.05,155922.75,2193,4144
2025-05-28,North,Set Wet Hair Gel,694,142.41,98832.54,763,1824
2025-04-25,West,Saffola Gold,190,217.26,41279.4,1803,3678
2025-08-08,South,Nihar Naturals,654,148.22,96935.88,3135,4752
2025-01-15,East,Parachute Coconut Oil,264,163.84,43253.76,353,4522
2025-04-03,North,Livon Serum,226,281.64,63650.64,136,3041
2025-07-12,South,Parachute Coconut Oil,509,197.01,100278.09,1529,2044
2025-01-27,North,Nihar Naturals,239,117.23,28017.97,198,3930
2025-12-05,West,Livon Serum,514,265.57,136502.98,1459,3210
2025-06-26,North,Nihar Naturals,520,115.78,60205.6,3483,4177
2025-04-23,North,Livon Serum,484,309.91,149996.44,141,1624
2025-05-11,South,Saffola Gold,376,233.33,87732.08,697,1431
2025-07-14,South,Saffola Gold,625,255.64,159775.0,2070,3449
2025-01-22,West,Parachute Coconut Oil,526,162.84,85653.84,526,5173
2025-10-21,West,Nihar Naturals,494,129.28,63864.32,331,3110
2025-03-29,East,Parachute Coconut Oil,551,187.47,103295.97,1363,5167
2025-10-29,West,Saffola Gold,490,226.82,111141.8,1933,3021
2025-03-28,East,Saffola Gold,158,212.51,33576.58,733,1867
2025-11-27,East,Livon Serum,231,234.4,54146.4,714,1999
2025-12-02,South,Nihar Naturals,157,122.38,19213.66,3130,4565
2025-12-15,West,Nihar Naturals,658,127.29,83756.82,479,3958
2025-08-14,South,Livon Serum,149,285.64,42560.36,1842,3986
2025-06-30,North,Nihar Naturals,599,114.63,68663.37,277,3291
2025-11-11,North,Parachute Coconut Oil,688,192.21,132240.48,761,3295
2025-06-14,South,Set Wet Hair Gel,699,154.06,107687.94,1285,2017
2025-02-13,East,Parachute Coconut Oil,596,179.61,107047.56,174,1560
2025-07-06,South,Set Wet Hair Gel,461,170.78,78729.58,1922,2986
2025-11-20,North,Nihar Naturals,422,114.38,48268.36,837,1787
2025-06-20,South,Nihar Naturals,163,135.52,22089.76,1699,1979
2025-11-01,South,Set Wet Hair Gel,166,147.78,24531.48,1874,2942
2025-11-27,North,Saffola Gold,513,235.01,120560.13,634,1474
2025-09-06,East,Saffola Gold,276,197.83,54601.08,958,1963
2025-12-05,North,Parachute Coconut Oil,424,209.5,88828.0,349,3931
2025-04-03,South,Saffola Gold,249,256.68,63913.32,770,1578
2025-08-18,East,Set Wet Hair Gel,319,136.01,43387.19,2086,2667
2025-07-08,South,Set Wet Hair Gel,664,173.29,115064.56,2156,3291
2025-03-24,West,Nihar Naturals,284,132.04,37499.36,201,1966
2025-12-31,North,Livon Serum,608,300.9,182947.2,790,2567
2025-09-20,West,Livon Serum,230,288.02,66244.6,773,1775
2025-01-14,East,Set Wet Hair Gel,504,120.19,60575.76,2203,3456
2025-04-25,East,Parachute Coconut Oil,108,165.76,17902.08,623,1805
2025-05-27,North,Saffola Gold,563,245.74,138351.62,1314,1968
2025-02-10,North,Set Wet Hair Gel,99,140.36,13895.64,3845,4820
2025-02-26,West,Nihar Naturals,375,115.13,43173.75,182,1899
2025-02-02,West,Nihar Naturals,193,133.1,25688.3,400,3447
2025-03-15,South,Nihar Naturals,378,130.55,49347.9,1472,3918
2025-02-04,East,Parachute Coconut Oil,618,175.29,108329.22,2430,4621
2025-11-22,North,Set Wet Hair Gel,476,166.75,79373.0,1169,2438
2025-05-04,East,Parachute Coconut Oil,186,184.91,34393.26,2236,4411
2025-11-26,East,Nihar Naturals,259,124.94,32359.46,3343,4204
2025-02-02,South,Saffola Gold,548,216.04,118389.92,140,2225
2025-06-08,East,Parachute Coconut Oil,607,169.12,102655.84,3938,4739
2025-07-02,East,Saffola Gold,128,230.88,29552.64,2133,2759
2025-07-24,West,Livon Serum,530,292.15,154839.5,1301,2983
2025-07-08,West,Set Wet Hair Gel,611,135.34,82692.74,473,1738
2025-10-07,South,Set Wet Hair Gel,380,148.22,56323.6,915,1727
2025-11-05,West,Livon Serum,516,244.83,126332.28,752,3218
2025-05-21,West,Livon Serum,138,238.88,32965.44,2822,4011
2025-03-15,North,Saffola Gold,528,207.91,109776.48,1051,1675
2025-10-18,West,Livon Serum,113,273.33,30886.29,2271,4181
2025-02-09,West,Livon Serum,667,242.95,162047.65,1852,2903
2025-02-28,South,Livon Serum,106,304.36,32262.16,2919,3444
2025-05-14,East,Parachute Coconut Oil,536,161.36,86488.96,407,3906
2025-03-11,North,Saffola Gold,155,231.78,35925.9,1273,5080
2025-12-30,East,Livon Serum,146,253.56,37019.76,2209,2589
2025-07-05,South,Saffola Gold,600,227.16,136296.0,884,2223
2025-07-04,North,Set Wet Hair Gel,647,151.87,98259.89,2855,3314
2025-02-03,North,Saffola Gold,396,228.69,90561.24,2933,4336
2025-10-22,West,Set Wet Hair Gel,155,130.39,20210.45,1406,2698
2025-03-07,East,Set Wet Hair Gel,644,139.49,89831.56,650,2145
2025-03-05,North,Set Wet Hair Gel,610,136.61,83332.1,1825,2074
2025-09-23,East,Saffola Gold,370,229.85,85044.5,1564,2426
2025-11-17,South,Livon Serum,390,295.85,115381.5,665,1782
2025-03-29,South,Nihar Naturals,699,127.58,89178.42,1049,5184
2025-11-25,North,Parachute Coconut Oil,670,180.87,121182.9,1715,2263
2025-11-18,West,Parachute Coconut Oil,638,175.04,111675.52,1876,2637
2025-08-21,East,Set Wet Hair Gel,154,141.1,21729.4,1359,2047
2025-06-24,South,Set Wet Hair Gel,227,147.9,33573.3,2195,4342
2025-07-09,South,Set Wet Hair Gel,607,157.31,95487.17,737,2707
2025-05-07,West,Livon Serum,224,240.29,53824.96,2234,2588
2025-05-08,West,Nihar Naturals,243,132.4,32173.2,1329,3766
2025-09-13,West,Set Wet Hair Gel,395,143.41,56646.95,1353,1768
2025-04-21,South,Set Wet Hair Gel,677,149.42,101157.34,1252,1607
2025-02-25,North,Livon Serum,521,252.41,131505.61,2010,2483
2025-01-24,East,Set Wet Hair Gel,490,120.12,58858.8,2932,3701
2025-07-17,North,Livon Serum,596,273.8,163184.8,3209,3652
2025-03-07,North,Nihar Naturals,179,124.61,22305.19,2334,4655
2025-11-05,South,Saffola Gold,601,237.68,142845.68,97,1564
2025-09-23,West,Livon Serum,547,243.68,133292.96,2253,5058
2025-03-25,East,Nihar Naturals,482,129.46,62399.72,2874,4428
2025-12-29,West,Nihar Naturals,656,116.99,76745.44,358,4741
2025-10-26,West,Parachute Coconut Oil,395,197.85,78150.75,3230,4370
2025-12-02,East,Set Wet Hair Gel,672,137.44,92359.68,419,4354
2025-03-17,West,Saffola Gold,328,199.74,65514.72,845,4269
2025-08-03,East,Set Wet Hair Gel,235,132.03,31027.05,1654,2235
2025-12-28,North,Set Wet Hair Gel,221,149.92,33132.32,2624,3697
2025-06-10,West,Nihar Naturals,257,121.79,31300.03,324,3583
2025-04-09,West,Livon Serum,332,252.14,83710.48,1080,2622
2025-12-20,South,Livon Serum,580,274.98,159488.4,2422,2828
2025-03-04,East,Livon Serum,667,261.3,174287.1,2147,2955
2025-05-29,South,Livon Serum,123,272.91,33567.93,399,4325
2025-04-20,West,Livon Serum,286,287.82,82316.52,1876,2510
2025-02-25,South,Livon Serum,680,269.52,183273.6,1376,1607
2025-01-27,South,Saffola Gold,182,238.39,43386.98,3570,4338
2025-10-09,North,Saffola Gold,241,229.2,55237.2,2856,5007
2025-06-14,East,Saffola Gold,372,219.51,81657.72,3592,5118
2025-10-01,South,Nihar Naturals,118,146.23,17255.14,455,2117
2025-04-06,West,Set Wet Hair Gel,376,156.69,58915.44,875,1437
2025-05-26,East,Parachute Coconut Oil,545,194.12,105795.4,1201,3625
2025-05-20,West,Nihar Naturals,277,132.26,36636.02,344,2754
2025-01-08,South,Livon Serum,425,308.23,130997.75,1461,3725
2025-08-07,West,Saffola Gold,607,216.04,131136.28,1303,3041
2025-06-15,West,Saffola Gold,334,198.38,66258.92,1627,2971
2025-10-26,East,Livon Serum,666,220.66,146959.56,1700,4077
2025-08-27,North,Parachute Coconut Oil,394,175.95,69324.3,3638,4210
2025-11-24,North,Livon Serum,382,268.21,102456.22,687,2304
2025-08-21,South,Set Wet Hair Gel,700,150.2,105140.0,2697,4275
2025-05-07,South,Nihar Naturals,690,144.93,100001.7,1052,1735
2025-02-01,North,Parachute Coconut Oil,640,210.74,134873.6,1072,2228
2025-03-01,West,Nihar Naturals,290,129.51,37557.9,397,3402
2025-08-21,North,Set Wet Hair Gel,215,149.72,32189.8,2876,3271
2025-01-12,East,Set Wet Hair Gel,485,126.81,61502.85,846,1412
2025-08-05,North,Parachute Coconut Oil,432,201.26,86944.32,932,3616
2025-05-27,North,Set Wet Hair Gel,498,137.59,68519.82,1673,1954
2025-07-15,East,Set Wet Hair Gel,539,147.05,79259.95,1248,5114
2025-12-01,South,Nihar Naturals,436,120.48,52529.28,1560,3600
2025-06-02,North,Parachute Coconut Oil,554,200.0,110800.0,1593,3630
2025-06-27,West,Saffola Gold,238,213.16,50732.08,1359,4984
2025-11-11,West,Parachute Coconut Oil,96,172.83,16591.68,75,1675
2025-05-06,North,Set Wet Hair Gel,125,145.68,18210.0,1968,2359
2025-09-15,South,Parachute Coconut Oil,376,186.34,70063.84,3376,5153
2025-06-04,South,Livon Serum,226,321.92,72753.92,1866,3535
2025-10-13,North,Livon Serum,685,302.83,207438.55,3703,5133
2025-01-25,West,Set Wet Hair Gel,432,158.96,68670.72,2894,4149
2025-07-29,West,Livon Serum,232,253.49,58809.68,1356,2153
2025-06-03,South,Saffola Gold,227,261.7,59405.9,627,5146
2025-07-18,South,Set Wet Hair Gel,328,145.72,47796.16,2383,2752
2025-02-17,East,Set Wet Hair Gel,628,142.28,89351.84,183,2180
2025-02-07,North,Nihar Naturals,272,137.43,37380.96,2648,3806
2025-06-05,East,Saffola Gold,95,197.07,18721.65,632,2178
2025-12-23,South,Set Wet Hair Gel,698,162.68,113550.64,1861,3024
2025-08-27,West,Livon Serum,626,276.17,172882.42,1529,2663
2025-02-20,West,Set Wet Hair Gel,560,152.66,85489.6,1246,2711
2025-01-24,West,Livon Serum,656,290.17,190351.52,1866,4436
2025-06-01,West,Nihar Naturals,236,113.89,26878.04,1443,2342
2025-05-12,East,Nihar Naturals,580,128.78,74692.4,2167,4028
2025-10-07,South,Saffola Gold,580,224.77,130366.6,3535,5042
2025-02-08,North,Parachute Coconut Oil,129,204.25,26348.25,241,3089
2025-01-05,South,Parachute Coconut Oil,303,199.54,60460.62,364,2928
2025-01-04,North,Set Wet Hair Gel,624,151.12,94298.88,127,1448
2025-01-09,East,Nihar Naturals,594,124.45,73923.3,1482,4160
2025-09-26,North,Parachute Coconut Oil,232,179.76,41704.32,1802,3938
2025-07-11,North,Set Wet Hair Gel,495,147.75,73136.25,893,2396
2025-12-01,North,Livon Serum,112,249.68,27964.16,2480,2953
2025-12-26,North,Parachute Coconut Oil,255,172.35,43949.25,3192,4862
2025-04-28,North,Parachute Coconut Oil,296,210.66,62355.36,952,4235
2025-10-06,East,Parachute Coconut Oil,657,180.12,118338.84,808,2134
2025-12-31,South,Nihar Naturals,487,146.74,71462.38,228,2625
2025-12-13,West,Nihar Naturals,633,117.95,74662.35,3631,4494
2025-01-28,East,Parachute Coconut Oil,180,170.77,30738.6,502,4835
2025-06-17,West,Nihar Naturals,110,127.02,13972.2,2286,4609
2025-08-10,West,Nihar Naturals,270,128.39,34665.3,1948,4106
2025-02-12,North,Saffola Gold,354,214.74,76017.96,1407,4315
2025-07-04,East,Set Wet Hair Gel,189,121.45,22954.05,2038,2662
2025-03-09,North,Livon Serum,169,256.03,43269.07,2680,3238
2025-01-14,North,Set Wet Hair Gel,171,143.92,24610.32,984,1781
2025-05-30,North,Set Wet Hair Gel,503,145.16,73015.48,1459,1746
2025-12-17,South,Saffola Gold,469,223.91,105013.79,1459,2501
2025-03-27,North,Saffola Gold,525,221.71,116397.75,629,2627
2025-05-07,East,Livon Serum,587,256.24,150412.88,673,2200
2025-07-22,North,Livon Serum,420,300.25,126105.0,1881,2956
2025-08-09,East,Set Wet Hair Gel,688,122.92,84568.96,1911,2713
2025-06-10,West,Saffola Gold,261,251.05,65524.05,1910,2707
2025-06-16,South,Set Wet Hair Gel,465,146.68,68206.2,1297,4618
2025-10-31,South,Nihar Naturals,638,122.47,78135.86,2707,4544
2025-05-30,West,Saffola Gold,150,243.04,36456.0,3594,4659
2025-11-21,South,Set Wet Hair Gel,390,145.23,56639.7,2470,4097
2025-08-18,North,Set Wet Hair Gel,692,148.48,102748.16,2260,3041
2025-07-04,North,Nihar Naturals,629,130.85,82304.65,459,5145
2025-11-28,South,Livon Serum,125,292.26,36532.5,2363,4042
2025-02-24,West,Livon Serum,90,240.41,21636.9,1477,2309
2025-08-17,South,Nihar Naturals,463,129.31,59870.53,1438,4563
2025-09-05,North,Livon Serum,187,263.33,49242.71,1405,5170
2025-06-09,East,Saffola Gold,431,209.66,90363.46,1117,2247
2025-08-13,North,Set Wet Hair Gel,543,142.65,77458.95,163,2629
2025-11-28,East,Parachute Coconut Oil,191,180.92,34555.72,1429,2073
2025-06-19,South,Saffola Gold,653,239.17,156178.01,2251,3292
2025-11-24,South,Saffola Gold,522,237.34,123891.48,1603,4420
2025-07-19,West,Set Wet Hair Gel,84,150.67,12656.28,1844,2242
2025-10-02,North,Parachute Coconut Oil,271,185.6,50297.6,1399,2207
2025-11-02,East,Nihar Naturals,477,118.76,56648.52,332,3804
2025-12-11,South,Set Wet Hair Gel,384,170.81,65591.04,1235,3817
2025-05-03,North,Livon Serum,392,251.27,98497.84,2118,2929
2025-10-22,South,Set Wet Hair Gel,472,152.07,71777.04,1319,3393
2025-09-08,South,Nihar Naturals,375,121.19,45446.25,2255,2688
2025-09-06,North,Livon Serum,219,256.55,56184.45,2604,2972
2025-12-17,West,Set Wet Hair Gel,583,140.55,81940.65,1556,4840
2025-04-23,North,Parachute Coconut Oil,379,170.01,64433.79,1353,2320
2025-10-09,West,Nihar Naturals,603,111.4,67174.2,213,1867
2025-08-14,North,Livon Serum,639,258.13,164945.07,1578,3141
2025-08-19,North,Livon Serum,349,266.92,93155.08,1334,4745
2025-10-29,South,Saffola Gold,439,264.99,116330.61,1380,3899
2025-04-16,South,Nihar Naturals,291,142.74,41537.34,2878,3735
2025-12-27,East,Saffola Gold,379,201.08,76209.32,1502,2495
2025-07-30,South,Parachute Coconut Oil,140,223.19,31246.6,1434,4951
2025-12-31,South,Saffola Gold,409,263.05,107587.45,2421,4518
2025-10-23,South,Set Wet Hair Gel,355,159.81,56732.55,909,2936
2025-12-22,East,Set Wet Hair Gel,457,133.4,60963.8,621,3399
2025-11-22,West,Parachute Coconut Oil,446,200.25,89311.5,2597,4659
2025-05-18,West,Saffola Gold,410,243.56,99859.6,767,2783
2025-06-25,West,Nihar Naturals,129,109.38,14110.02,1221,3964
2025-08-22,West,Saffola Gold,80,252.55,20204.0,1107,3152
2025-05-21,South,Livon Serum,175,298.67,52267.25,1796,2425
2025-07-22,North,Saffola Gold,392,247.45,97000.4,3492,4493
2025-01-01,North,Parachute Coconut Oil,298,190.79,56855.42,1260,1943
2025-12-23,North,Parachute Coconut Oil,431,206.72,89096.32,1176,4923
2025-02-15,West,Saffola Gold,184,203.68,37477.12,802,2905
2025-11-25,South,Set Wet Hair Gel,226,138.67,31339.42,480,3707
2025-06-29,West,Saffola Gold,298,232.54,69296.92,1624,2020
2025-02-14,South,Set Wet Hair Gel,182,141.37,25729.34,1128,1904
2025-06-11,West,Livon Serum,223,250.11,55774.53,2993,4040
2025-12-20,East,Nihar Naturals,107,125.43,13421.01,3222,4096
2025-07-20,South,Nihar Naturals,382,137.58,52555.56,2856,4610
2025-05-04,North,Set Wet Hair Gel,591,154.27,91173.57,328,1690
2025-03-09,East,Livon Serum,476,272.56,129738.56,2908,3728
2025-02-07,West,Saffola Gold,97,230.3,22339.1,302,1456
2025-09-17,West,Parachute Coconut Oil,373,190.29,70978.17,2268,3452
2025-05-23,South,Parachute Coconut Oil,165,190.02,31353.3,1264,3494
2025-07-20,East,Nihar Naturals,680,119.41,81198.8,2137,4818
2025-01-30,South,Set Wet Hair Gel,330,139.34,45982.2,797,3179
2025-03-03,South,Livon Serum,92,302.41,27821.72,424,4273
2025-03-27,East,Livon Serum,460,227.72,104751.2,3829,4599
